step,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms
0,32,8192,8192,3,1669.123047
1,32,160,160,3,3.894272
2,32,128,288,3,3.411968
3,1,1025,1025,3,5.4272
4,9,8192,9217,3,22.257664
5,17,8192,17409,3,22.595585
6,25,8192,25599,3,22.657024
7,32,7389,32970,3,20.857857
8,32,128,33075,3,3.065856
9,32,128,33166,3,3.048448
10,32,128,33242,3,3.021824
11,32,128,33315,3,3.0208
12,32,128,33397,3,3.027968
13,32,128,33480,3,3.00544
14,32,128,33562,3,3.001344
15,32,128,33632,3,3.011584
16,32,128,33720,3,3.013632
17,32,128,33811,3,3.011584
18,32,128,33882,3,3.007488
19,32,128,33961,3,3.007488
20,32,128,34041,3,3.016704
21,32,128,34113,3,3.018752
22,32,128,34192,3,2.999296
23,32,128,34262,3,3.01568
24,32,128,34332,3,3.014656
25,32,128,34418,3,3.01568
26,32,128,34501,3,3.021824
27,32,128,34589,3,3.008512
28,32,128,34660,3,3.012608
29,32,128,34737,3,3.019776
30,32,128,34817,3,3.016704
31,32,128,34910,3,3.01568
32,32,128,34983,3,3.0208
33,32,128,35053,3,3.0208
34,32,128,35135,3,3.017728
35,32,128,35206,3,3.014656
36,32,128,35275,3,3.017728
37,32,128,35351,3,3.022848
38,32,128,35437,3,3.023872
39,32,128,35506,3,3.021824
40,32,128,35582,3,3.021824
41,32,128,35661,3,3.017728
42,32,128,35744,3,3.007488
43,32,128,35816,3,3.022848
44,32,128,35884,3,3.023872
45,32,128,35953,3,3.030016
46,32,128,36027,3,3.018752
47,32,128,36103,3,3.017728
48,32,128,36183,3,3.024896
49,32,128,36253,3,3.02592
50,32,1149,36215,3,5.512192
51,32,128,36293,3,3.07712
52,32,1148,36236,3,5.491712
53,32,2169,36056,3,8.13568
54,32,1149,36007,3,5.46304
55,32,3190,35694,3,10.59328
56,32,128,35772,3,3.06176
57,32,3191,35438,3,10.816512
58,32,2170,35281,3,8.127488
59,32,5232,34693,3,16.153601
60,32,1149,34664,3,5.464064
61,32,5233,34076,3,16.306175
62,32,2170,33925,3,8.193024
63,32,128,34000,3,3.05664
64,32,1149,33940,3,5.49376
65,32,2170,33742,3,8.126464
66,32,2170,33536,3,8.129536
67,32,128,33623,3,3.067904
68,32,1149,33565,3,5.485568
69,32,128,33648,3,3.058688
70,32,128,33726,3,3.02592
71,32,128,33808,3,3.024896
72,32,128,33887,3,3.016704
73,32,128,33964,3,3.003392
74,32,128,34042,3,3.01056
75,32,128,34128,3,3.011584
76,32,128,34194,3,3.01056
77,32,128,34274,3,3.011584
78,32,128,34341,3,3.014656
79,32,128,34430,3,3.012608
80,32,128,34511,3,3.014656
81,32,128,34588,3,3.016704
82,32,128,34677,3,3.0208
83,32,128,34758,3,3.016704
84,32,128,34825,3,3.01568
85,32,128,34898,3,3.01568
86,32,128,34973,3,3.019776
87,32,128,35063,3,3.018752
88,32,128,35150,3,3.018752
89,32,128,35230,3,3.01568
90,32,128,35309,3,3.017728
91,32,128,35383,3,3.01568
92,32,128,35445,3,3.026944
93,32,128,35521,3,3.017728
94,32,128,35598,3,3.021824
95,32,128,35676,3,3.021824
96,32,128,35742,3,3.017728
97,32,128,35812,3,3.021824
98,32,128,35884,3,3.022848
99,32,128,35954,3,3.024896
100,32,128,36036,3,3.019776
101,32,1149,35998,3,5.500928
102,32,128,36076,3,3.062784
103,32,128,36158,3,3.053568
104,32,1149,36117,3,5.51424
105,32,2170,35947,3,8.196096
106,32,128,36026,3,3.07712
107,32,3191,35715,3,10.597376
108,32,4210,35259,3,13.403136
109,32,128,35349,3,3.083264
110,32,2170,35170,3,8.275968
111,32,1149,35122,3,5.505024
112,32,1149,35060,3,5.520384
113,32,3191,34731,3,10.694656
114,32,2169,34563,3,8.226816
115,32,2169,34386,3,8.183808
116,32,128,34477,3,3.07712
117,32,2170,34284,3,8.193024
118,32,1148,34236,3,5.530624
119,32,2170,34041,3,8.200192
120,32,1149,33979,3,5.485568
121,32,128,34061,3,3.06176
122,32,2170,33848,3,8.193024
123,32,128,33918,3,3.067904
124,32,128,34004,3,3.038208
125,32,128,34084,3,3.032064
126,32,128,34157,3,3.028992
127,32,128,34241,3,3.018752
128,32,1149,34171,3,5.485568
129,32,128,34256,3,3.063808
130,32,1149,34190,3,5.484544
131,32,128,34263,3,3.05152
132,32,128,34334,3,3.037184
133,32,128,34409,3,3.028992
134,32,128,34490,3,3.023872
135,32,128,34567,3,3.01568
136,32,128,34655,3,3.01568
137,32,128,34742,3,3.01568
138,32,128,34820,3,3.018752
139,32,128,34904,3,3.021824
140,32,128,34981,3,3.012608
141,32,128,35062,3,3.023872
142,32,128,35137,3,3.014656
143,32,128,35214,3,3.021824
144,32,128,35290,3,3.0208
145,32,128,35368,3,3.022848
146,32,128,35445,3,3.017728
147,32,128,35524,3,3.014656
148,32,128,35607,3,3.016704
149,32,128,35692,3,3.0208
150,32,128,35776,3,3.03104
151,32,128,35860,3,3.019776
152,32,128,35920,3,3.019776
153,32,1149,35863,3,5.538816
154,32,128,35947,3,3.070976
155,32,128,36030,3,3.047424
156,32,128,36102,3,3.021824
157,32,1149,36055,3,5.496832
158,32,128,36137,3,3.081216
159,32,1148,36093,3,5.485568
160,32,2170,35920,3,8.213504
161,32,2169,35751,3,8.274944
162,32,3191,35434,3,10.799104
163,32,5233,34852,3,16.323584
164,32,1149,34816,3,5.497856
165,32,2170,34641,3,8.18688
166,32,2169,34464,3,8.18688
167,32,128,34540,3,3.076096
168,32,128,34610,3,3.045376
169,32,128,34681,3,3.027968
170,32,2169,34484,3,8.229888
171,32,1149,34418,3,5.502976
172,32,2168,34224,3,8.17664
173,32,128,34306,3,3.076096
174,32,1149,34252,3,5.486592
175,32,2170,34071,3,8.198144
176,32,128,34152,3,3.057664
177,32,1149,34086,3,5.495808
178,32,128,34159,3,3.06688
179,32,128,34254,3,3.040256
180,32,1149,34192,3,5.51936
181,32,128,34271,3,3.068928
182,32,128,34354,3,3.04128
183,32,1149,34295,3,5.489664
184,32,128,34375,3,3.064832
185,32,1149,34316,3,5.49376
186,32,128,34390,3,3.059712
187,32,128,34463,3,3.038208
188,32,128,34562,3,3.011584
189,32,128,34639,3,3.017728
190,32,128,34718,3,3.03104
191,32,128,34799,3,3.01568
192,32,128,34881,3,3.017728
193,32,128,34961,3,3.018752
194,32,128,35034,3,3.014656
195,32,128,35123,3,3.024896
196,32,128,35203,3,3.012608
197,32,128,35271,3,3.019776
198,32,128,35356,3,3.017728
199,32,128,35434,3,3.022848
200,32,128,35505,3,3.018752
201,32,128,35580,3,3.019776
202,32,128,35663,3,3.022848
203,32,128,35736,3,3.023872
204,32,128,35807,3,3.024896
205,32,128,35883,3,3.021824
206,32,128,35961,3,3.022848
207,32,128,36039,3,3.022848
208,32,128,36126,3,3.027968
209,32,1149,36060,3,5.548032
210,32,128,36132,3,3.080192
211,32,128,36205,3,3.067904
212,32,1148,36150,3,5.533696
213,32,1149,36089,3,5.502976
214,32,3191,35782,3,10.699776
215,32,1149,35724,3,5.504
216,32,1149,35661,3,5.513216
217,32,3191,35331,3,10.687488
218,32,3191,34987,3,10.674176
219,32,2170,34777,3,8.205312
220,32,2169,34627,3,8.192
221,32,2170,34449,3,8.266752
222,32,128,34538,3,3.067904
223,32,2170,34328,3,8.192
224,32,128,34410,3,3.06176
225,32,2169,34227,3,8.259584
226,32,128,34316,3,3.072
227,32,1149,34268,3,5.489664
228,32,3191,33959,3,10.682368
229,32,128,34044,3,3.086336
230,32,128,34120,3,3.033088
231,32,128,34203,3,3.019776
232,32,128,34271,3,3.023872
233,32,128,34349,3,3.019776
234,32,1149,34287,3,5.676032
235,32,2170,34118,3,8.178688
236,32,128,34205,3,3.078144
237,32,128,34286,3,3.03616
238,32,128,34371,3,3.02592
239,32,128,34448,3,3.030016
240,32,1149,34376,3,5.538816
241,32,128,34449,3,3.08224
242,32,128,34538,3,3.038208
243,32,128,34616,3,3.027968
244,32,128,34698,3,3.026944
245,32,128,34766,3,3.034112
246,32,128,34852,3,3.018752
247,32,128,34926,3,3.021824
248,32,128,35010,3,3.019776
249,32,128,35085,3,3.01568
250,32,128,35156,3,3.022848
251,32,128,35223,3,3.011584
252,32,128,35304,3,3.017728
253,32,128,35397,3,3.019776
254,32,128,35487,3,3.024896
255,32,128,35571,3,3.012608
256,32,128,35653,3,3.018752
257,32,128,35730,3,3.018752
258,32,1148,35685,3,5.530624
259,32,128,35769,3,3.083264
260,32,128,35852,3,3.03104
261,32,1149,35812,3,5.543936
262,32,128,35892,3,3.079168
263,32,128,35963,3,3.044352
264,32,128,36037,3,3.03616
265,32,1148,35984,3,5.52448
266,32,1149,35930,3,5.496832
267,32,1149,35872,3,5.497856
268,32,128,35945,3,3.06688
269,32,3190,35621,3,10.663936
270,32,1149,35568,3,5.543936
271,32,3191,35238,3,10.70592
272,32,2170,35052,3,8.316928
273,32,4212,34624,3,13.30176
274,32,1149,34595,3,5.501952
275,32,2170,34416,3,8.285184
276,32,2170,34229,3,8.210432
277,32,1149,34185,3,5.545984
278,32,1149,34129,3,5.536768
279,32,1149,34084,3,5.53984
280,32,1149,34031,3,5.489664
281,32,1149,33977,3,5.545984
282,32,128,34066,3,3.070976
283,32,128,34149,3,3.057664
284,32,128,34228,3,3.04128
285,32,1149,34173,3,5.547008
286,32,128,34264,3,3.072
287,32,2169,34063,3,8.25856
288,32,128,34138,3,3.069952
289,32,128,34209,3,3.040256
290,32,128,34288,3,3.027968
291,32,1149,34226,3,5.537792
292,32,128,34309,3,3.080192
293,32,128,34398,3,3.047424
294,32,128,34472,3,3.03104
295,32,128,34554,3,3.02592
296,32,128,34630,3,3.03104
297,32,128,34709,3,3.01568
298,32,128,34795,3,3.022848
299,32,128,34875,3,3.018752
300,32,128,34955,3,3.022848
301,32,128,35032,3,3.019776
302,32,128,35114,3,3.022848
303,32,128,35194,3,3.01568
304,32,128,35277,3,3.026944
305,32,128,35347,3,3.023872
306,32,128,35415,3,3.014656
307,32,128,35497,3,3.017728
308,32,128,35588,3,3.023872
309,32,128,35665,3,3.02592
310,32,128,35754,3,3.027968
311,32,128,35824,3,3.026944
312,32,128,35906,3,3.014656
313,32,128,35985,3,3.022848
314,32,128,36053,3,3.018752
315,32,1149,36000,3,5.547008
316,32,2169,35815,3,8.20224
317,32,128,35897,3,3.0976
318,32,1149,35846,3,5.542912
319,32,3190,35547,3,10.781696
320,32,2169,35374,3,8.271872
321,32,1149,35323,3,5.567488
322,32,128,35396,3,3.09248
323,32,128,35467,3,3.059712
324,32,128,35553,3,3.038208
325,32,2170,35353,3,8.265728
326,32,2170,35168,3,8.216576
327,32,3191,34822,3,10.683392
328,32,2170,34611,3,8.199168
329,32,2170,34419,3,8.33024
330,32,3190,34104,3,10.831872
331,32,1149,34050,3,5.492736
332,32,128,34135,3,3.060736
333,32,128,34213,3,3.0464
334,32,1149,34161,3,5.496832
335,32,128,34251,3,3.047424
336,32,1149,34192,3,5.484544
337,32,128,34270,3,3.062784
338,32,1149,34214,3,5.490688
339,32,128,34283,3,3.068928
340,32,1149,34230,3,5.477376
341,32,128,34322,3,3.074048
342,32,1149,34276,3,5.53472
