step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,32,160,32,8192,8192,3,2591.9375,612.287476
1,32,128,32,160,160,3,4.426752,446.699524
2,0,-1,32,128,288,3,3.843072,0.004096
3,1,1025,-1,-1,-1,-1,-1,96.053246
4,9,8192,1,1025,1025,3,5.412864,535.617554
5,17,8192,9,8192,9217,3,22.772736,502.634491
6,25,8192,17,8192,17409,3,23.063553,506.787842
7,32,7389,25,8192,25599,3,23.199743,460.782593
8,32,128,32,7389,32970,3,21.47328,24.79616
9,32,128,32,128,33075,3,3.105792,24.255487
10,32,128,32,128,33166,3,3.075072,23.903233
11,32,128,32,128,33242,3,3.026944,23.785473
12,32,128,32,128,33315,3,3.028992,23.759872
13,32,128,32,128,33397,3,3.026944,23.745537
14,32,128,32,128,33480,3,3.0208,23.620607
15,32,128,32,128,33562,3,3.013632,23.612415
16,32,128,32,128,33632,3,3.016704,23.620607
17,32,128,32,128,33720,3,3.019776,23.585793
18,32,128,32,128,33811,3,3.026944,23.72608
19,32,128,32,128,33882,3,3.032064,23.734272
20,32,128,32,128,33961,3,3.017728,23.734272
21,32,128,32,128,34041,3,3.03104,23.725056
22,32,128,32,128,34113,3,3.024896,23.748608
23,32,128,32,128,34192,3,3.032064,23.7568
24,32,128,32,128,34262,3,3.024896,23.745537
25,32,128,32,128,34332,3,3.022848,23.734272
26,32,128,32,128,34418,3,3.02592,23.731199
27,32,128,32,128,34501,3,3.027968,23.753729
28,32,128,32,128,34589,3,3.030016,23.785473
29,32,128,32,128,34660,3,3.034112,23.798784
30,32,128,32,128,34737,3,3.038208,23.799809
31,32,128,32,128,34817,3,3.028992,23.806976
32,32,128,32,128,34910,3,3.032064,23.824385
33,32,128,32,128,34983,3,3.027968,23.791616
34,32,128,32,128,35053,3,3.039232,23.796736
35,32,128,32,128,35135,3,3.032064,23.783424
36,32,128,32,128,35206,3,3.034112,23.775232
37,32,128,32,128,35275,3,3.032064,23.768064
38,32,128,32,128,35351,3,3.026944,23.793665
39,32,128,32,128,35437,3,3.038208,23.783424
40,32,128,32,128,35506,3,3.034112,23.790592
41,32,128,32,128,35582,3,3.037184,23.803904
42,32,128,32,128,35661,3,3.035136,23.7824
43,32,128,32,128,35744,3,3.04128,23.764992
44,32,128,32,128,35816,3,3.03616,23.786495
45,32,128,32,128,35884,3,3.03616,23.800833
46,32,128,32,128,35953,3,3.037184,23.818239
47,32,128,32,128,36027,3,3.03616,23.848961
48,32,128,32,128,36103,3,3.049472,23.851007
49,32,128,32,128,36183,3,3.038208,23.894016
50,32,1149,32,128,36253,3,3.045376,82.795517
51,32,128,32,1149,36215,3,5.597184,24.952831
52,32,1148,32,128,36293,3,3.080192,83.094528
53,32,2169,32,1148,36236,3,5.578752,146.91124
54,32,1149,32,2169,36056,3,8.291328,84.384766
55,32,3190,32,1149,36007,3,5.592064,209.738754
56,32,128,32,3190,35694,3,11.004928,25.197569
57,32,3191,32,128,35772,3,3.15392,208.908295
58,32,2170,32,3191,35438,3,10.928128,149.045242
59,32,5232,32,2170,35281,3,8.349696,343.193604
60,32,1149,32,5232,34693,3,16.526337,85.057533
61,32,5233,32,1149,34664,3,5.557248,343.146484
62,32,2170,32,5233,34076,3,16.521215,148.557831
63,32,128,32,2170,33925,3,8.341504,24.785919
64,32,1149,32,128,34000,3,3.100672,204.045319
65,32,2170,32,1149,33940,3,13.216768,155.731964
66,32,2170,32,2170,33742,3,8.374272,147.542023
67,32,128,32,2170,33536,3,17.263617,36.875263
68,32,1149,32,128,33623,3,3.03616,144.798721
69,32,128,32,1149,33565,3,7.750656,38.249474
70,32,128,32,128,33648,3,3.024896,23.704576
71,32,128,32,128,33726,3,3.004416,33.637375
72,32,128,32,128,33808,3,3.002368,23.593985
