step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,16,32,-1,-1,-1,-1,-1,22.107136,1,4976.245605
1,16,16,-1,-1,-1,-1,-1,13.773824,1,15.803392
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.004096
3,1,1025,-1,-1,-1,-1,-1,-1,0,106.60659
4,10,8192,-1,-1,-1,-1,-1,-1,0,513.539062
5,16,6950,-1,-1,-1,-1,-1,-1,0,428.735474
6,16,16,-1,-1,-1,-1,-1,13.940736,1,14.00832
7,16,16,-1,-1,-1,-1,-1,13.913088,1,13.959168
8,16,16,-1,-1,-1,-1,-1,13.855744,1,13.9008
9,16,16,-1,-1,-1,-1,-1,13.840384,1,13.884416
10,16,16,-1,-1,-1,-1,-1,13.815808,1,13.85984
11,16,16,-1,-1,-1,-1,-1,13.804544,1,13.847552
12,16,16,-1,-1,-1,-1,-1,13.7984,1,13.843456
13,16,16,-1,-1,-1,-1,-1,13.816832,1,13.85984
14,16,16,-1,-1,-1,-1,-1,13.800448,1,13.84448
15,16,16,-1,-1,-1,-1,-1,13.789184,1,13.83424
16,16,16,-1,-1,-1,-1,-1,13.775872,1,13.819904
17,16,16,-1,-1,-1,-1,-1,13.780992,1,13.824
18,16,16,-1,-1,-1,-1,-1,13.80864,1,13.85472
19,16,16,-1,-1,-1,-1,-1,13.786112,1,13.850624
20,16,16,-1,-1,-1,-1,-1,13.799424,1,13.868032
21,16,16,-1,-1,-1,-1,-1,13.795328,1,13.853696
22,16,16,-1,-1,-1,-1,-1,13.773824,1,13.833216
23,16,16,-1,-1,-1,-1,-1,13.796352,1,13.840384
24,16,16,-1,-1,-1,-1,-1,13.754368,1,13.799424
25,16,16,-1,-1,-1,-1,-1,13.750272,1,13.795328
26,16,16,-1,-1,-1,-1,-1,13.782016,1,13.827072
27,16,16,-1,-1,-1,-1,-1,13.77792,1,13.821952
28,16,16,-1,-1,-1,-1,-1,13.774848,1,13.819904
