step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,32,160,-1,-1,-1,-1,-1,25.132032,1,605.526001
1,32,128,-1,-1,-1,-1,-1,19.516417,1,447.526917
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.004096
3,1,1025,-1,-1,-1,-1,-1,-1,0,120.526848
4,9,8192,-1,-1,-1,-1,-1,-1,0,543.952881
5,17,8192,-1,-1,-1,-1,-1,-1,0,490.748932
6,25,8192,-1,-1,-1,-1,-1,-1,0,493.759491
7,32,7389,-1,-1,-1,-1,-1,-1,0,450.936829
8,32,128,-1,-1,-1,-1,-1,24.503296,1,24.572927
9,32,128,-1,-1,-1,-1,-1,23.983105,1,24.04352
10,32,128,-1,-1,-1,-1,-1,23.662592,1,23.734272
11,32,128,-1,-1,-1,-1,-1,23.633921,1,23.702528
12,32,128,-1,-1,-1,-1,-1,23.665665,1,23.733248
13,32,128,-1,-1,-1,-1,-1,23.51104,1,23.578625
14,32,128,-1,-1,-1,-1,-1,23.518208,1,23.585793
15,32,128,-1,-1,-1,-1,-1,23.532543,1,23.591936
16,32,128,-1,-1,-1,-1,-1,23.506945,1,23.575552
17,32,128,-1,-1,-1,-1,-1,23.516159,1,23.584768
18,32,128,-1,-1,-1,-1,-1,23.498753,1,23.566336
19,32,128,-1,-1,-1,-1,-1,23.502848,1,23.569408
20,32,128,-1,-1,-1,-1,-1,23.507969,1,23.574528
21,32,128,-1,-1,-1,-1,-1,23.510015,1,23.568384
22,32,128,-1,-1,-1,-1,-1,23.53664,1,23.604223
23,32,128,-1,-1,-1,-1,-1,23.507969,1,23.575552
24,32,128,-1,-1,-1,-1,-1,23.52128,1,23.587839
25,32,128,-1,-1,-1,-1,-1,23.498753,1,23.56736
26,32,128,-1,-1,-1,-1,-1,23.530497,1,23.597055
27,32,128,-1,-1,-1,-1,-1,23.530497,1,23.591936
28,32,128,-1,-1,-1,-1,-1,23.523329,1,23.591936
29,32,128,-1,-1,-1,-1,-1,23.528448,1,23.596031
30,32,128,-1,-1,-1,-1,-1,23.515137,1,23.573503
31,32,128,-1,-1,-1,-1,-1,23.547903,1,23.614464
32,32,128,-1,-1,-1,-1,-1,23.550976,1,23.618561
33,32,128,-1,-1,-1,-1,-1,23.557119,1,23.624704
34,32,128,-1,-1,-1,-1,-1,23.52128,1,23.58272
35,32,128,-1,-1,-1,-1,-1,23.534592,1,23.603201
36,32,128,-1,-1,-1,-1,-1,23.558144,1,23.624704
37,32,128,-1,-1,-1,-1,-1,23.543808,1,23.605247
38,32,128,-1,-1,-1,-1,-1,23.558144,1,23.616512
39,32,128,-1,-1,-1,-1,-1,23.553024,1,23.620607
40,32,128,-1,-1,-1,-1,-1,23.56736,1,23.634945
41,32,128,-1,-1,-1,-1,-1,23.559168,1,23.619583
