step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,128,256,-1,-1,-1,-1,-1,35.305473,1,88.641533,181.14151,269.783043
1,128,128,-1,-1,-1,-1,-1,19.812351,1,20.78208,7.913472,28.695552
2,1,1025,-1,-1,-1,-1,-1,-1,0,93.058044,0.82944,93.887484
3,10,8192,-1,-1,-1,-1,-1,-1,0,506.113037,0.830464,506.943501
4,18,8192,-1,-1,-1,-1,-1,-1,0,506.633209,0.86528,507.498489
5,26,8192,-1,-1,-1,-1,-1,-1,0,510.76709,0.874496,511.641586
6,34,8192,-1,-1,-1,-1,-1,-1,0,512.42804,0.882688,513.310728
7,42,8192,-1,-1,-1,-1,-1,-1,0,515.64032,0.902144,516.542464
8,50,8192,-1,-1,-1,-1,-1,-1,0,519.044067,0.912384,519.956451
9,58,8192,-1,-1,-1,-1,-1,-1,0,521.712646,0.934912,522.647559
10,66,8192,-1,-1,-1,-1,-1,-1,0,526.565369,0.963584,527.528953
11,74,8192,-1,-1,-1,-1,-1,-1,0,528.923645,0.968704,529.892349
12,82,8192,-1,-1,-1,-1,-1,-1,0,531.536926,0.98816,532.525086
13,90,8192,-1,-1,-1,-1,-1,-1,0,535.795715,0.995328,536.791043
14,98,8192,-1,-1,-1,-1,-1,-1,0,538.400757,1.004544,539.405301
15,106,8192,-1,-1,-1,-1,-1,-1,0,541.169678,1.012736,542.182414
16,114,8192,-1,-1,-1,-1,-1,-1,0,543.583252,1.027072,544.610324
17,122,8192,-1,-1,-1,-1,-1,-1,0,547.003418,1.03424,548.037658
18,128,6218,-1,-1,-1,-1,-1,-1,0,438.16037,1.043456,439.203826
19,128,128,-1,-1,-1,-1,-1,29.831167,1,29.898752,1.050624,30.949376
20,128,128,-1,-1,-1,-1,-1,29.44512,1,29.513727,1.048576,30.562303
21,128,128,-1,-1,-1,-1,-1,29.241344,1,29.308928,1.052672,30.3616
22,128,128,-1,-1,-1,-1,-1,29.201408,1,29.260799,1.053696,30.314495
23,128,128,-1,-1,-1,-1,-1,29.19936,1,29.258753,1.043456,30.302209
24,128,128,-1,-1,-1,-1,-1,29.110271,1,29.176832,1.047552,30.224384
25,128,128,-1,-1,-1,-1,-1,29.092863,1,29.1584,1.042432,30.200832
26,128,128,-1,-1,-1,-1,-1,29.148161,1,29.206528,1.045504,30.252032
27,128,128,-1,-1,-1,-1,-1,29.148161,1,29.206528,1.041408,30.247936
28,128,128,-1,-1,-1,-1,-1,29.146112,1,29.213696,1.045504,30.2592
29,128,128,-1,-1,-1,-1,-1,29.169664,1,29.236223,1.048576,30.284799
30,128,128,-1,-1,-1,-1,-1,29.182976,1,29.250561,1.041408,30.291969
31,128,128,-1,-1,-1,-1,-1,29.16864,1,29.225985,1.048576,30.274561
32,128,128,-1,-1,-1,-1,-1,29.15328,1,29.220863,1.041408,30.262271
33,128,128,-1,-1,-1,-1,-1,29.185024,1,29.250561,1.045504,30.296065
34,128,128,-1,-1,-1,-1,-1,29.188095,1,29.25568,1.04448,30.30016
35,128,128,-1,-1,-1,-1,-1,29.174784,1,29.241344,1.043456,30.2848
36,128,128,-1,-1,-1,-1,-1,29.192192,1,29.258753,1.040384,30.299137
37,128,128,-1,-1,-1,-1,-1,29.218817,1,29.285376,1.04448,30.329856
38,128,128,-1,-1,-1,-1,-1,29.192192,1,29.258753,1.045504,30.304257
39,128,128,-1,-1,-1,-1,-1,29.215744,1,29.282305,1.042432,30.324737
40,128,128,-1,-1,-1,-1,-1,29.257729,1,29.324287,1.04448,30.368767
41,128,128,-1,-1,-1,-1,-1,29.231104,1,29.298689,1.048576,30.347265
42,128,128,-1,-1,-1,-1,-1,29.257729,1,29.323263,1.046528,30.369791
43,128,128,-1,-1,-1,-1,-1,29.251583,1,29.318144,1.048576,30.36672
44,128,128,-1,-1,-1,-1,-1,29.272064,1,29.339647,1.048576,30.388223
45,128,128,-1,-1,-1,-1,-1,29.281281,1,29.346815,1.0496,30.396415
46,128,128,-1,-1,-1,-1,-1,29.276159,1,29.34272,1.042432,30.385152
47,128,128,-1,-1,-1,-1,-1,29.322241,1,29.387775,1.046528,30.434303
48,128,128,-1,-1,-1,-1,-1,29.321217,1,29.386751,1.061888,30.448639
49,128,128,-1,-1,-1,-1,-1,29.376513,1,29.443071,1.047552,30.490623
50,128,128,-1,-1,-1,-1,-1,29.418495,1,29.485056,1.041408,30.526464
51,128,128,-1,-1,-1,-1,-1,29.423616,1,29.490175,1.047552,30.537727
52,128,128,-1,-1,-1,-1,-1,29.421568,1,29.488129,1.051648,30.539777
53,128,128,-1,-1,-1,-1,-1,29.433855,1,29.50144,1.051648,30.553088
54,128,128,-1,-1,-1,-1,-1,29.465599,1,29.53216,1.046528,30.578688
55,128,128,-1,-1,-1,-1,-1,29.446144,1,29.511681,1.04448,30.556161
56,128,128,-1,-1,-1,-1,-1,29.468672,1,29.529087,1.04448,30.573567
57,128,128,-1,-1,-1,-1,-1,29.483007,1,29.550592,1.056768,30.60736
58,128,128,-1,-1,-1,-1,-1,29.488129,1,29.554688,1.04448,30.599167
59,128,128,-1,-1,-1,-1,-1,29.517824,1,29.575169,1.036288,30.611457
60,128,128,-1,-1,-1,-1,-1,29.435904,1,29.50144,1.0496,30.55104
61,128,128,-1,-1,-1,-1,-1,29.428736,1,29.494272,1.04448,30.538752
62,128,128,-1,-1,-1,-1,-1,29.464577,1,29.531136,1.046528,30.577664
63,128,128,-1,-1,-1,-1,-1,29.490175,1,29.55776,1.052672,30.610432
64,128,128,-1,-1,-1,-1,-1,29.517824,1,29.575169,1.04448,30.619649
65,128,128,-1,-1,-1,-1,-1,29.497343,1,29.563904,1.047552,30.611456
66,128,128,-1,-1,-1,-1,-1,29.483007,1,29.550592,1.048576,30.599168
67,128,128,-1,-1,-1,-1,-1,29.47584,1,29.541376,1.046528,30.587904
68,128,128,-1,-1,-1,-1,-1,29.526016,1,29.591553,1.043456,30.635009
69,128,128,-1,-1,-1,-1,-1,29.523968,1,29.58848,1.041408,30.629888
70,128,128,-1,-1,-1,-1,-1,29.538303,1,29.604864,1.046528,30.651392
71,128,128,-1,-1,-1,-1,-1,29.539328,1,29.605888,1.048576,30.654464
72,128,128,-1,-1,-1,-1,-1,29.555712,1,29.622272,1.048576,30.670848
73,128,128,-1,-1,-1,-1,-1,29.571072,1,29.630465,1.041408,30.671872
74,128,128,-1,-1,-1,-1,-1,29.591553,1,29.648895,1.048576,30.697471
75,128,128,-1,-1,-1,-1,-1,29.600767,1,29.666304,1.045504,30.711808
76,128,128,-1,-1,-1,-1,-1,29.617151,1,29.683712,1.04448,30.728192
77,128,128,-1,-1,-1,-1,-1,29.594624,1,29.651968,1.04448,30.696448
78,128,128,-1,-1,-1,-1,-1,29.612032,1,29.678593,1.043456,30.722049
79,128,128,-1,-1,-1,-1,-1,29.62944,1,29.697023,1.04448,30.741503
80,128,128,-1,-1,-1,-1,-1,29.639681,1,29.705215,1.04448,30.749695
81,128,128,-1,-1,-1,-1,-1,29.646849,1,29.712383,1.072128,30.784511
82,128,128,-1,-1,-1,-1,-1,29.750273,1,29.816832,1.053696,30.870528
83,128,128,-1,-1,-1,-1,-1,29.771776,1,29.830145,1.046528,30.876673
84,128,128,-1,-1,-1,-1,-1,29.784063,1,29.8496,1.047552,30.897152
85,128,128,-1,-1,-1,-1,-1,29.780993,1,29.846527,1.072128,30.918655
86,128,128,-1,-1,-1,-1,-1,29.790209,1,29.856768,1.04448,30.901248
87,128,128,-1,-1,-1,-1,-1,29.810688,1,29.879295,1.042432,30.921727
88,128,128,-1,-1,-1,-1,-1,29.822975,1,29.881344,1.045504,30.926848
89,128,128,-1,-1,-1,-1,-1,29.8496,1,29.916161,1.055744,30.971905
90,128,128,-1,-1,-1,-1,-1,29.851648,1,29.919231,1.046528,30.965759
91,128,128,-1,-1,-1,-1,-1,29.848576,1,29.906944,1.05472,30.961664
92,128,128,-1,-1,-1,-1,-1,29.790209,1,29.856768,1.040384,30.897152
93,128,128,-1,-1,-1,-1,-1,29.785088,1,29.850624,1.05984,30.910464
94,128,128,-1,-1,-1,-1,-1,29.830145,1,29.898752,1.0496,30.948352
95,128,128,-1,-1,-1,-1,-1,29.825024,1,29.89056,1.052672,30.943232
96,128,128,-1,-1,-1,-1,-1,29.830145,1,29.897728,1.042432,30.94016
97,128,128,-1,-1,-1,-1,-1,29.840384,1,29.90592,1.03936,30.94528
98,128,128,-1,-1,-1,-1,-1,29.857792,1,29.923328,1.050624,30.973952
99,128,128,-1,-1,-1,-1,-1,29.860865,1,29.927423,1.0496,30.977023
