step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,16,80,16,80,80,3,4.922368,19.188736,1,500.372467,185.187332,685.559799
1,16,64,16,64,144,3,3.060736,17.483776,1,373.346313,3589.577637,3962.92395
2,1,1025,1,1025,1025,3,5.46816,-1,0,94.226433,6.299648,100.526081
3,9,8192,9,8192,9217,3,22.709248,-1,0,508.981262,23.581696,532.562958
4,16,7216,16,7216,16433,3,21.075968,-1,0,452.08371,22.016001,474.09971
5,16,64,16,64,16495,3,2.548736,19.350529,1,19.397633,3.523584,22.921216
6,16,64,16,64,16541,3,2.531328,18.930689,1,18.975744,3.503104,22.478848
7,16,64,16,64,16582,3,2.52928,18.72896,1,18.796543,3.478528,22.275071
8,16,64,16,64,16626,3,2.520064,18.614271,1,18.68288,3.483648,22.166528
9,16,64,16,64,16666,3,2.510848,18.567167,1,18.633728,3.465216,22.098944
10,16,64,16,64,16700,3,2.511872,18.594816,1,18.661377,3.462144,22.123521
11,16,64,16,64,16740,3,2.516992,18.577408,1,18.633728,3.46624,22.099968
12,16,64,16,64,16786,3,2.506752,18.458624,1,18.523136,3.467264,21.9904
13,16,64,16,64,16827,3,2.512896,18.446337,1,18.510847,3.484672,21.995519
14,16,64,16,64,16862,3,2.51392,18.436096,1,18.495487,3.465216,21.960703
15,16,64,16,64,16904,3,2.521088,18.445312,1,18.511871,3.493888,22.005759
16,16,64,16,64,16954,3,2.510848,18.495487,1,18.562048,3.462144,22.024192
17,16,64,16,64,16987,3,2.509824,18.478081,1,18.54464,3.467264,22.011904
18,16,64,16,64,17032,3,2.51904,18.492416,1,18.558975,3.472384,22.031359
19,16,64,16,64,17070,3,2.510848,18.492416,1,18.536448,3.472384,22.008832
20,16,64,16,64,17102,3,2.504704,18.44224,1,18.503679,3.464192,21.967871
21,16,64,16,64,17144,3,2.511872,18.453505,1,18.509825,3.467264,21.977089
22,16,64,16,64,17172,3,2.514944,18.443264,1,18.507776,3.470336,21.978112
23,16,64,16,64,17202,3,2.509824,18.451456,1,18.516993,3.458048,21.975041
24,16,64,16,64,17244,3,2.515968,18.444288,1,18.508801,3.464192,21.972992
25,16,64,16,64,17278,3,2.509824,18.447359,1,18.489344,3.457024,21.946368
26,16,64,16,64,17317,3,2.514944,18.475008,1,18.541569,3.479552,22.021121
27,16,64,16,64,17354,3,2.518016,18.447359,1,18.51392,3.464192,21.978112
28,16,64,16,64,17385,3,2.511872,18.449408,1,18.491392,3.474432,21.965824
29,16,64,16,64,17422,3,2.518016,18.459648,1,18.500608,3.467264,21.967872
30,16,64,16,64,17462,3,2.51904,18.456575,1,18.518017,3.473408,21.991425
31,16,64,16,64,17502,3,2.515968,18.464767,1,18.52928,3.462144,21.991424
32,16,64,16,64,17537,3,2.514944,18.470913,1,18.536448,3.465216,22.001663
33,16,64,16,64,17583,3,2.525184,18.463743,1,18.528255,3.474432,22.002687
34,16,64,16,64,17615,3,2.523136,18.460672,1,18.527231,3.470336,21.997567
35,16,64,16,64,17650,3,2.51392,18.469889,1,18.51392,3.46112,21.97504
36,16,64,16,64,17692,3,2.518016,18.511871,1,18.579456,3.480576,22.060032
37,16,64,16,64,17730,3,2.516992,18.493441,1,18.559999,3.465216,22.025215
38,16,64,16,64,17764,3,2.515968,18.494465,1,18.562048,3.478528,22.040576
39,16,64,16,64,17801,3,2.51904,18.479103,1,18.545664,3.473408,22.019072
40,16,64,16,64,17841,3,2.515968,18.491392,1,18.556929,3.479552,22.036481
41,16,64,16,64,17882,3,2.520064,18.460672,1,18.525185,3.47136,21.996545
42,16,64,16,64,17925,3,2.51392,18.477057,1,18.54464,3.46624,22.01088
43,16,64,16,64,17961,3,2.515968,18.504704,1,18.548737,3.46112,22.009856
44,16,64,16,64,17998,3,2.516992,18.495487,1,18.561024,3.468288,22.029312
45,16,64,16,64,18033,3,2.51904,18.518017,1,18.586624,3.468288,22.054912
46,16,64,16,64,18069,3,2.51904,18.510847,1,18.579456,3.483648,22.063104
47,16,64,16,64,18114,3,2.516992,18.509825,1,18.577408,3.465216,22.042624
48,16,64,16,64,18147,3,2.521088,18.470913,1,18.535423,3.480576,22.015999
49,16,64,16,64,18184,3,2.521088,18.732033,1,18.798592,3.488768,22.28736
50,16,1085,16,1085,18100,3,5.098496,-1,0,77.106178,6.06208,83.168258
51,16,64,16,64,18137,3,2.592768,19.532801,1,19.601408,3.575808,23.177216
52,16,1085,16,1085,18038,3,5.047296,-1,0,78.982147,6.006784,84.988931
53,16,64,16,64,18073,3,2.586624,19.529728,1,19.591167,3.560448,23.151615
54,16,2106,16,2106,17856,3,7.804928,-1,0,141.010941,8.767488,149.778428
55,16,1085,16,1085,17768,3,5.04832,-1,0,79.086594,6.004736,85.09133
56,16,1085,16,1085,17671,3,5.06368,-1,0,78.642174,6.01088,84.653054
57,16,64,16,64,17715,3,2.592768,19.642368,1,19.708927,3.55328,23.262207
58,16,3126,16,3126,17372,3,10.390528,-1,0,202.796036,11.35616,214.152196
59,16,4147,16,4147,16872,3,13.062144,-1,0,270.155762,13.99808,284.153842
60,16,2105,16,2105,16665,3,7.84384,-1,0,144.329727,8.786944,153.116672
61,16,1085,16,1085,16590,3,5.052416,-1,0,79.138817,5.994496,85.133313
62,16,64,16,64,16633,3,2.547712,19.024897,1,19.069952,3.513344,22.583296
63,16,64,16,64,16673,3,2.533376,18.826241,1,18.892799,3.488768,22.381567
64,16,64,16,64,16716,3,2.533376,18.662399,1,18.729984,3.50208,22.232064
65,16,64,16,64,16759,3,2.521088,18.580481,1,18.644993,3.484672,22.129665
66,16,64,16,64,16795,3,2.514944,18.542591,1,18.613249,3.483648,22.096897
67,16,64,16,64,16828,3,2.521088,18.583551,1,18.651136,3.477504,22.12864
68,16,64,16,64,16870,3,2.510848,18.543615,1,18.6112,3.454976,22.066176
69,16,64,16,64,16914,3,2.514944,18.444288,1,18.508801,3.47136,21.98016
70,16,64,16,64,16953,3,2.510848,18.494465,1,18.562048,3.460096,22.022144
71,16,64,16,64,16995,3,2.509824,18.51392,1,18.575359,3.458048,22.033407
72,16,64,16,64,17035,3,2.518016,18.481152,1,18.538496,3.465216,22.003712
73,16,64,16,64,17073,3,2.514944,18.522112,1,18.566145,3.474432,22.040577
74,16,64,16,64,17113,3,2.515968,18.488319,1,18.552832,3.462144,22.014976
75,16,64,16,64,17158,3,2.518016,18.46784,1,18.531328,3.477504,22.008832
76,16,64,16,64,17202,3,2.518016,18.459648,1,18.525185,3.470336,21.995521
77,16,64,16,64,17237,3,2.518016,18.476032,1,18.541569,3.480576,22.022145
78,16,64,16,64,17282,3,2.51392,18.481152,1,18.545664,3.477504,22.023168
79,16,64,16,64,17327,3,2.512896,18.462721,1,18.527231,3.485696,22.012927
80,16,64,16,64,17371,3,2.521088,18.480127,1,18.541569,3.469312,22.010881
81,16,64,16,64,17415,3,2.512896,18.456575,1,18.521088,3.465216,21.986304
82,16,64,16,64,17447,3,2.51392,18.487295,1,18.549761,3.46112,22.010881
83,16,64,16,64,17487,3,2.520064,18.45248,1,18.509825,3.488768,21.998593
84,16,64,16,64,17532,3,2.520064,18.491392,1,18.557953,3.473408,22.031361
85,16,64,16,64,17582,3,2.51392,18.491392,1,18.557953,3.460096,22.018049
86,16,64,16,64,17621,3,2.526208,18.461697,1,18.52928,3.475456,22.004736
87,16,64,16,64,17653,3,2.514944,18.518017,1,18.582527,3.46112,22.043647
88,16,64,16,64,17689,3,2.51392,18.484224,1,18.541569,3.4816,22.023169
89,16,64,16,64,17725,3,2.504704,18.475008,1,18.53952,3.453952,21.993472
90,16,64,16,64,17763,3,2.52416,18.512896,1,18.578432,3.4816,22.060032
91,16,64,16,64,17799,3,2.51392,18.508801,1,18.573313,3.475456,22.048769
92,16,64,16,64,17825,3,2.526208,18.508801,1,18.564096,3.4816,22.045696
93,16,64,16,64,17859,3,2.522112,18.487295,1,18.54464,3.473408,22.018048
94,16,64,16,64,17897,3,2.520064,18.519039,1,18.583551,3.479552,22.063103
95,16,64,16,64,17934,3,2.51904,18.4832,1,18.547712,3.494912,22.042624
96,16,64,16,64,17971,3,2.526208,18.494465,1,18.561024,3.480576,22.0416
97,16,64,16,64,18007,3,2.515968,18.549761,1,18.615295,3.480576,22.095871
98,16,64,16,64,18040,3,2.520064,18.499584,1,18.556929,3.492864,22.049793
99,16,64,16,64,18077,3,2.531328,18.496511,1,18.564096,3.488768,22.052865
100,16,1085,16,1085,17983,3,5.06368,-1,0,77.163521,6.020096,83.183617
101,16,64,16,64,18019,3,2.540544,19.195904,1,19.255297,3.505152,22.760449
102,16,64,16,64,18060,3,2.54464,18.927616,1,18.987007,3.514368,22.501375
103,16,64,16,64,18102,3,2.531328,18.761728,1,18.828287,3.497984,22.326271
104,16,3125,16,3125,17743,3,10.38848,-1,0,201.358337,11.342848,212.701185
105,16,64,16,64,17791,3,2.552832,19.223553,1,19.281919,3.52256,22.804479
106,16,64,16,64,17832,3,2.538496,18.917376,1,18.987007,3.495936,22.482943
107,16,1085,16,1085,17751,3,5.098496,-1,0,77.581314,6.05696,83.638274
108,16,64,16,64,17789,3,2.557952,19.196928,1,19.267584,3.536896,22.80448
109,16,64,16,64,17827,3,2.561024,19.253248,1,19.321856,3.5328,22.854656
110,16,2105,16,2105,17605,3,7.86432,-1,0,141.978622,8.838144,150.816767
