step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,64,128,-1,-1,-1,-1,-1,96.375809
1,64,64,-1,-1,-1,-1,-1,19.39456
2,0,-1,-1,-1,-1,-1,-1,0.00512
3,1,2048,-1,-1,-1,-1,-1,167.334915
4,6,8192,-1,-1,-1,-1,-1,510.626831
5,10,8192,-1,-1,-1,-1,-1,516.248596
6,14,8192,-1,-1,-1,-1,-1,518.25769
7,18,8192,-1,-1,-1,-1,-1,522.013672
8,22,8192,-1,-1,-1,-1,-1,526.366699
9,26,8192,-1,-1,-1,-1,-1,526.721008
10,30,8192,-1,-1,-1,-1,-1,532.276245
11,34,8192,-1,-1,-1,-1,-1,533.549072
12,38,8192,-1,-1,-1,-1,-1,536.572937
13,42,8192,-1,-1,-1,-1,-1,538.674194
14,46,8192,-1,-1,-1,-1,-1,541.11438
15,50,8192,-1,-1,-1,-1,-1,544.687134
16,54,8192,-1,-1,-1,-1,-1,548.513794
17,58,8192,-1,-1,-1,-1,-1,550.58844
18,62,8192,-1,-1,-1,-1,-1,553.112549
19,64,5690,-1,-1,-1,-1,-1,406.791168
20,64,64,-1,-1,-1,-1,-1,28.730368
21,64,64,-1,-1,-1,-1,-1,28.299265
22,64,64,-1,-1,-1,-1,-1,28.04224
23,64,64,-1,-1,-1,-1,-1,28.007423
24,64,64,-1,-1,-1,-1,-1,28.018688
25,64,64,-1,-1,-1,-1,-1,27.899904
26,64,64,-1,-1,-1,-1,-1,27.902975
27,64,64,-1,-1,-1,-1,-1,27.907072
28,64,64,-1,-1,-1,-1,-1,27.943935
29,64,64,-1,-1,-1,-1,-1,27.968512
30,64,64,-1,-1,-1,-1,-1,27.966463
31,64,64,-1,-1,-1,-1,-1,27.923456
32,64,64,-1,-1,-1,-1,-1,27.952127
33,64,64,-1,-1,-1,-1,-1,27.948032
34,64,64,-1,-1,-1,-1,-1,27.922432
35,64,64,-1,-1,-1,-1,-1,27.973633
36,64,64,-1,-1,-1,-1,-1,27.966463
37,64,64,-1,-1,-1,-1,-1,27.96032
38,64,64,-1,-1,-1,-1,-1,27.974655
39,64,64,-1,-1,-1,-1,-1,28.00128
40,64,64,-1,-1,-1,-1,-1,27.992064
41,64,64,-1,-1,-1,-1,-1,28.029951
42,64,64,-1,-1,-1,-1,-1,28.034048
43,64,64,-1,-1,-1,-1,-1,28.007423
44,64,64,-1,-1,-1,-1,-1,28.051456
45,64,64,-1,-1,-1,-1,-1,28.019712
46,64,64,-1,-1,-1,-1,-1,28.017664
47,64,64,-1,-1,-1,-1,-1,28.019712
48,64,64,-1,-1,-1,-1,-1,28.012545
49,64,64,-1,-1,-1,-1,-1,28.046335
50,64,64,-1,-1,-1,-1,-1,28.036097
51,64,64,-1,-1,-1,-1,-1,28.045313
52,64,64,-1,-1,-1,-1,-1,28.034048
53,64,64,-1,-1,-1,-1,-1,28.060673
54,64,64,-1,-1,-1,-1,-1,28.062719
55,64,64,-1,-1,-1,-1,-1,28.064768
56,64,64,-1,-1,-1,-1,-1,28.064768
57,64,64,-1,-1,-1,-1,-1,28.089344
58,64,64,-1,-1,-1,-1,-1,28.081152
59,64,64,-1,-1,-1,-1,-1,28.080128
60,64,64,-1,-1,-1,-1,-1,28.058624
61,64,64,-1,-1,-1,-1,-1,28.095488
62,64,64,-1,-1,-1,-1,-1,28.10368
63,64,64,-1,-1,-1,-1,-1,28.086271
64,64,64,-1,-1,-1,-1,-1,28.082176
65,64,64,-1,-1,-1,-1,-1,28.120064
66,64,64,-1,-1,-1,-1,-1,28.126207
67,64,64,-1,-1,-1,-1,-1,28.121088
68,64,64,-1,-1,-1,-1,-1,28.131329
69,64,64,-1,-1,-1,-1,-1,28.138496
70,64,64,-1,-1,-1,-1,-1,28.136448
71,64,64,-1,-1,-1,-1,-1,28.134399
72,64,64,-1,-1,-1,-1,-1,28.142591
73,64,64,-1,-1,-1,-1,-1,28.14464
74,64,64,-1,-1,-1,-1,-1,28.145664
75,64,64,-1,-1,-1,-1,-1,28.179457
76,64,64,-1,-1,-1,-1,-1,28.17536
77,64,64,-1,-1,-1,-1,-1,28.191744
78,64,64,-1,-1,-1,-1,-1,28.184576
79,64,64,-1,-1,-1,-1,-1,28.1856
80,64,64,-1,-1,-1,-1,-1,28.24192
81,64,64,-1,-1,-1,-1,-1,28.211201
82,64,64,-1,-1,-1,-1,-1,28.193792
83,64,64,-1,-1,-1,-1,-1,28.204033
84,64,64,-1,-1,-1,-1,-1,28.218369
85,64,64,-1,-1,-1,-1,-1,28.218369
86,64,64,-1,-1,-1,-1,-1,28.243967
87,64,64,-1,-1,-1,-1,-1,28.23168
88,64,64,-1,-1,-1,-1,-1,28.2624
89,64,64,-1,-1,-1,-1,-1,28.269567
90,64,64,-1,-1,-1,-1,-1,28.269567
91,64,64,-1,-1,-1,-1,-1,28.2624
92,64,64,-1,-1,-1,-1,-1,28.263424
93,64,64,-1,-1,-1,-1,-1,28.252159
94,64,64,-1,-1,-1,-1,-1,28.284927
95,64,64,-1,-1,-1,-1,-1,28.322817
96,64,64,-1,-1,-1,-1,-1,28.313601
97,64,64,-1,-1,-1,-1,-1,28.305408
98,64,64,-1,-1,-1,-1,-1,28.311552
99,64,64,-1,-1,-1,-1,-1,28.292095
100,64,64,-1,-1,-1,-1,-1,28.259329
101,64,64,-1,-1,-1,-1,-1,28.326912
102,64,64,-1,-1,-1,-1,-1,28.315647
103,64,64,-1,-1,-1,-1,-1,28.321793
104,64,64,-1,-1,-1,-1,-1,28.325888
105,64,64,-1,-1,-1,-1,-1,28.356607
106,64,64,-1,-1,-1,-1,-1,28.358656
107,64,64,-1,-1,-1,-1,-1,28.376064
108,64,64,-1,-1,-1,-1,-1,28.384256
109,64,64,-1,-1,-1,-1,-1,28.377089
110,64,64,-1,-1,-1,-1,-1,28.382208
111,64,64,-1,-1,-1,-1,-1,28.3904
112,64,64,-1,-1,-1,-1,-1,28.404736
113,64,64,-1,-1,-1,-1,-1,28.362753
114,64,64,-1,-1,-1,-1,-1,28.397568
115,64,64,-1,-1,-1,-1,-1,28.3904
116,64,64,-1,-1,-1,-1,-1,28.404736
117,64,64,-1,-1,-1,-1,-1,28.40064
118,64,64,-1,-1,-1,-1,-1,28.425217
119,64,2095,-1,-1,-1,-1,-1,184.593414
120,64,64,-1,-1,-1,-1,-1,28.93824
121,64,4128,-1,-1,-1,-1,-1,311.419891
122,64,64,-1,-1,-1,-1,-1,29.131777
123,64,64,-1,-1,-1,-1,-1,28.736511
124,64,2096,-1,-1,-1,-1,-1,185.218048
125,64,4128,-1,-1,-1,-1,-1,313.296906
126,64,4128,-1,-1,-1,-1,-1,313.467896
127,64,2096,-1,-1,-1,-1,-1,187.619324
128,64,2096,-1,-1,-1,-1,-1,186.182663
129,64,8192,-1,-1,-1,-1,-1,556.995605
130,64,6158,-1,-1,-1,-1,-1,444.115967
131,64,6159,-1,-1,-1,-1,-1,442.918915
132,64,8192,-1,-1,-1,-1,-1,558.042114
133,64,6159,-1,-1,-1,-1,-1,442.822662
134,64,6160,-1,-1,-1,-1,-1,444.678131
135,63,8192,-1,-1,-1,-1,-1,556.134399
136,64,6158,-1,-1,-1,-1,-1,445.236237
137,64,2096,-1,-1,-1,-1,-1,186.483719
138,64,2096,-1,-1,-1,-1,-1,185.256958
139,64,8192,-1,-1,-1,-1,-1,559.778809
140,64,4128,-1,-1,-1,-1,-1,313.55188
141,64,6160,-1,-1,-1,-1,-1,443.114502
142,64,4128,-1,-1,-1,-1,-1,314.917877
143,64,2096,-1,-1,-1,-1,-1,186.570755
144,64,6160,-1,-1,-1,-1,-1,441.949188
145,64,4127,-1,-1,-1,-1,-1,314.728455
146,64,64,-1,-1,-1,-1,-1,28.927999
147,64,2095,-1,-1,-1,-1,-1,184.485886
148,64,2096,-1,-1,-1,-1,-1,185.809921
149,64,2096,-1,-1,-1,-1,-1,184.625153
150,64,64,-1,-1,-1,-1,-1,28.695553
151,64,64,-1,-1,-1,-1,-1,28.378113
152,64,4128,-1,-1,-1,-1,-1,310.938629
153,64,64,-1,-1,-1,-1,-1,28.923904
154,64,64,-1,-1,-1,-1,-1,28.395519
155,64,2096,-1,-1,-1,-1,-1,184.37529
156,64,64,-1,-1,-1,-1,-1,28.649471
157,64,64,-1,-1,-1,-1,-1,28.298241
158,64,64,-1,-1,-1,-1,-1,28.176384
159,64,64,-1,-1,-1,-1,-1,28.16
160,64,64,-1,-1,-1,-1,-1,28.115969
161,64,64,-1,-1,-1,-1,-1,28.094463
162,64,2096,-1,-1,-1,-1,-1,183.770111
163,64,64,-1,-1,-1,-1,-1,28.656639
164,64,64,-1,-1,-1,-1,-1,28.348415
165,64,64,-1,-1,-1,-1,-1,28.207104
166,64,64,-1,-1,-1,-1,-1,28.151808
167,64,64,-1,-1,-1,-1,-1,28.149759
168,64,64,-1,-1,-1,-1,-1,28.118015
169,64,64,-1,-1,-1,-1,-1,28.0832
170,64,2096,-1,-1,-1,-1,-1,183.639038
171,64,64,-1,-1,-1,-1,-1,28.696575
172,64,64,-1,-1,-1,-1,-1,28.339199
173,64,64,-1,-1,-1,-1,-1,28.24192
174,64,64,-1,-1,-1,-1,-1,28.177408
175,64,64,-1,-1,-1,-1,-1,28.198912
176,64,64,-1,-1,-1,-1,-1,28.121088
177,64,64,-1,-1,-1,-1,-1,28.087296
178,64,64,-1,-1,-1,-1,-1,28.093439
