step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,128,256,-1,-1,-1,-1,-1,9.032,1,3377.351318,10898.911133,14276.262451
1,128,128,-1,-1,-1,-1,-1,5.52096,1,6.683808,3.078176,9.761984
2,1,2048,-1,-1,-1,-1,-1,-1,0,31.938272,1.73616,33.674433
3,8,14232,-1,-1,-1,-1,-1,-1,0,212.316483,0.324416,212.640899
4,13,10173,-1,-1,-1,-1,-1,-1,0,153.610168,1.56464,155.174809
5,22,16384,-1,-1,-1,-1,-1,-1,0,259.146973,1.73312,260.880093
6,30,16384,-1,-1,-1,-1,-1,-1,0,285.378479,0.768,286.146479
7,38,16384,-1,-1,-1,-1,-1,-1,0,264.777771,0.736736,265.514507
8,46,16384,-1,-1,-1,-1,-1,-1,0,256.715698,0.746304,257.462002
9,54,16384,-1,-1,-1,-1,-1,-1,0,256.121399,2.1336,258.254999
10,62,16384,-1,-1,-1,-1,-1,-1,0,284.802246,0.764928,285.567174
11,70,16384,-1,-1,-1,-1,-1,-1,0,263.277466,1.755488,265.032954
12,78,16384,-1,-1,-1,-1,-1,-1,0,259.145844,0.752448,259.898292
13,86,16384,-1,-1,-1,-1,-1,-1,0,262.460388,0.770304,263.230692
14,94,16384,-1,-1,-1,-1,-1,-1,0,276.236603,0.773024,277.009627
15,102,16384,-1,-1,-1,-1,-1,-1,0,266.594696,0.82128,267.415976
16,110,16384,-1,-1,-1,-1,-1,-1,0,261.068146,0.798528,261.866674
17,118,16384,-1,-1,-1,-1,-1,-1,0,269.911469,0.808384,270.719853
18,126,16384,-1,-1,-1,-1,-1,-1,0,269.853363,0.456544,270.309907
19,128,5443,-1,-1,-1,-1,-1,-1,0,97.042336,0.445472,97.487808
20,128,128,-1,-1,-1,-1,-1,13.217632,1,13.267968,0.438528,13.706496
21,128,128,-1,-1,-1,-1,-1,13.059328,1,13.110464,0.415904,13.526368
22,128,128,-1,-1,-1,-1,-1,12.753888,1,12.802528,0.4104,13.212928
23,128,128,-1,-1,-1,-1,-1,12.581856,1,12.631584,0.410784,13.042368
24,128,128,-1,-1,-1,-1,-1,12.527648,1,12.573984,0.41136,12.985344
25,128,128,-1,-1,-1,-1,-1,12.4576,1,12.505152,0.398752,12.903904
26,128,128,-1,-1,-1,-1,-1,12.322624,1,12.369664,0.395264,12.764928
27,128,128,-1,-1,-1,-1,-1,12.303072,1,12.350304,0.393856,12.74416
28,128,128,-1,-1,-1,-1,-1,12.302688,1,12.35024,0.396704,12.746944
29,128,128,-1,-1,-1,-1,-1,12.2992,1,12.344096,0.406336,12.750432
30,128,128,-1,-1,-1,-1,-1,12.29616,1,12.342368,0.407808,12.750176
31,128,128,-1,-1,-1,-1,-1,12.317472,1,12.364384,0.39408,12.758464
32,128,128,-1,-1,-1,-1,-1,12.32416,1,12.368832,0.444064,12.812896
33,128,128,-1,-1,-1,-1,-1,12.322976,1,12.368672,0.394816,12.763488
34,128,128,-1,-1,-1,-1,-1,12.319936,1,12.3656,0.422048,12.787648
35,128,128,-1,-1,-1,-1,-1,12.325024,1,12.37072,0.395744,12.766464
36,128,128,-1,-1,-1,-1,-1,12.315552,1,12.36176,0.407104,12.768864
37,128,128,-1,-1,-1,-1,-1,12.32048,1,12.36592,0.438144,12.804064
38,128,128,-1,-1,-1,-1,-1,12.3368,1,12.384224,0.400576,12.7848
39,128,128,-1,-1,-1,-1,-1,12.434144,1,12.482272,0.423744,12.906016
40,128,128,-1,-1,-1,-1,-1,12.424992,1,12.469792,0.408032,12.877824
41,128,128,-1,-1,-1,-1,-1,12.410016,1,12.456896,0.423136,12.880032
42,128,128,-1,-1,-1,-1,-1,12.39232,1,12.43856,0.396992,12.835552
43,128,128,-1,-1,-1,-1,-1,12.383936,1,12.43136,0.409344,12.840704
44,128,128,-1,-1,-1,-1,-1,12.366752,1,12.413952,0.395168,12.80912
45,128,128,-1,-1,-1,-1,-1,12.370592,1,12.419488,0.411328,12.830816
46,128,128,-1,-1,-1,-1,-1,12.374016,1,12.419904,0.40928,12.829184
47,128,128,-1,-1,-1,-1,-1,12.395488,1,12.443648,0.398112,12.84176
48,128,128,-1,-1,-1,-1,-1,12.38208,1,12.428928,0.408992,12.83792
49,128,128,-1,-1,-1,-1,-1,12.42496,1,12.47248,0.410016,12.882496
50,128,128,-1,-1,-1,-1,-1,12.429952,1,12.47648,0.406656,12.883136
51,128,128,-1,-1,-1,-1,-1,12.438368,1,12.485152,0.396576,12.881728
52,128,128,-1,-1,-1,-1,-1,12.445728,1,12.493504,0.396512,12.890016
53,128,128,-1,-1,-1,-1,-1,12.425408,1,12.477184,0.409408,12.886592
54,128,128,-1,-1,-1,-1,-1,12.459648,1,12.511584,0.399136,12.91072
55,128,128,-1,-1,-1,-1,-1,12.470368,1,12.517504,0.397504,12.915008
56,128,128,-1,-1,-1,-1,-1,12.48752,1,12.534848,0.399552,12.9344
57,128,128,-1,-1,-1,-1,-1,12.477088,1,12.523296,0.412608,12.935904
58,128,128,-1,-1,-1,-1,-1,12.482368,1,12.528608,0.398848,12.927456
59,128,128,-1,-1,-1,-1,-1,12.705632,1,12.752032,0.407168,13.1592
60,128,128,-1,-1,-1,-1,-1,12.671328,1,12.720032,0.451936,13.171968
61,128,128,-1,-1,-1,-1,-1,12.593472,1,12.640384,0.41264,13.053024
62,128,128,-1,-1,-1,-1,-1,12.536864,1,12.585824,0.41984,13.005664
63,128,128,-1,-1,-1,-1,-1,12.532608,1,12.583968,0.411168,12.995136
64,128,128,-1,-1,-1,-1,-1,12.517536,1,12.564096,0.411744,12.97584
65,128,128,-1,-1,-1,-1,-1,12.56896,1,12.616192,0.411936,13.028128
66,128,128,-1,-1,-1,-1,-1,12.582016,1,12.628256,0.40704,13.035296
67,128,128,-1,-1,-1,-1,-1,12.622432,1,12.669664,0.411744,13.081408
68,128,128,-1,-1,-1,-1,-1,12.605312,1,12.651712,0.40176,13.053472
69,128,128,-1,-1,-1,-1,-1,12.58816,1,12.634464,0.415744,13.050208
70,128,128,-1,-1,-1,-1,-1,12.565056,1,12.612224,0.410592,13.022816
71,128,128,-1,-1,-1,-1,-1,12.567008,1,12.614592,0.409504,13.024096
72,128,128,-1,-1,-1,-1,-1,12.52624,1,12.571808,0.415872,12.98768
73,128,128,-1,-1,-1,-1,-1,12.548416,1,12.593792,0.407456,13.001248
74,128,128,-1,-1,-1,-1,-1,12.548256,1,12.595392,0.403712,12.999104
75,128,128,-1,-1,-1,-1,-1,12.567008,1,12.6136,0.4328,13.0464
76,128,128,-1,-1,-1,-1,-1,12.613344,1,12.660864,0.399744,13.060608
77,128,128,-1,-1,-1,-1,-1,12.628192,1,12.67424,0.425056,13.099296
78,128,128,-1,-1,-1,-1,-1,12.6224,1,12.670752,0.40096,13.071712
79,128,128,-1,-1,-1,-1,-1,12.616224,1,12.662304,0.429888,13.092192
80,128,128,-1,-1,-1,-1,-1,12.546912,1,12.593248,0.399104,12.992352
81,128,128,-1,-1,-1,-1,-1,12.528352,1,15.028448,0.411968,15.440416
82,128,128,-1,-1,-1,-1,-1,12.528608,1,12.574944,0.406816,12.98176
83,128,128,-1,-1,-1,-1,-1,12.545248,1,12.591168,0.40784,12.999008
84,128,128,-1,-1,-1,-1,-1,12.485696,1,12.535744,0.411328,12.947072
85,128,128,-1,-1,-1,-1,-1,12.567456,1,12.614816,0.402272,13.017088
86,128,128,-1,-1,-1,-1,-1,12.572576,1,12.622464,0.412416,13.03488
87,128,128,-1,-1,-1,-1,-1,12.526272,1,12.572704,0.411296,12.984
88,128,128,-1,-1,-1,-1,-1,12.527552,1,12.574432,0.411168,12.9856
89,128,128,-1,-1,-1,-1,-1,12.569472,1,12.616672,0.442656,13.059328
90,128,128,-1,-1,-1,-1,-1,12.628352,1,12.67664,0.41296,13.0896
91,128,128,-1,-1,-1,-1,-1,12.693696,1,12.742464,0.42512,13.167584
92,128,128,-1,-1,-1,-1,-1,12.684288,1,12.734336,0.403808,13.138144
93,128,128,-1,-1,-1,-1,-1,12.666176,1,12.71296,0.41696,13.12992
94,128,128,-1,-1,-1,-1,-1,12.676768,1,12.72336,0.40128,13.12464
95,128,128,-1,-1,-1,-1,-1,12.622208,1,12.668544,0.410432,13.078976
96,128,128,-1,-1,-1,-1,-1,12.57936,1,12.625952,0.40752,13.033472
97,128,128,-1,-1,-1,-1,-1,12.5976,1,12.64464,0.417344,13.061984
98,128,128,-1,-1,-1,-1,-1,12.6144,1,12.661408,0.409632,13.07104
99,128,128,-1,-1,-1,-1,-1,12.652448,1,12.6984,0.4152,13.1136
100,128,128,-1,-1,-1,-1,-1,12.62208,1,12.66816,0.399136,13.067296
101,128,128,-1,-1,-1,-1,-1,12.620256,1,12.666144,0.39984,13.065984
102,128,128,-1,-1,-1,-1,-1,12.618144,1,12.6656,0.405152,13.070752
103,128,128,-1,-1,-1,-1,-1,12.57664,1,12.62256,0.397216,13.019776
104,128,128,-1,-1,-1,-1,-1,12.55664,1,12.603232,0.406432,13.009664
105,128,128,-1,-1,-1,-1,-1,12.506912,1,12.552192,0.400864,12.953056
106,128,128,-1,-1,-1,-1,-1,12.503872,1,12.549952,0.39888,12.948832
107,128,128,-1,-1,-1,-1,-1,12.513984,1,12.560992,0.39744,12.958432
108,128,128,-1,-1,-1,-1,-1,12.509664,1,12.556416,0.397088,12.953504
109,128,128,-1,-1,-1,-1,-1,12.526976,1,12.572608,0.412896,12.985504
110,128,128,-1,-1,-1,-1,-1,12.505632,1,12.552064,0.398176,12.95024
111,128,128,-1,-1,-1,-1,-1,12.491552,1,12.537184,0.40784,12.945024
112,128,128,-1,-1,-1,-1,-1,12.496896,1,12.54144,0.404064,12.945504
113,128,128,-1,-1,-1,-1,-1,12.5224,1,12.569024,0.39824,12.967264
114,128,128,-1,-1,-1,-1,-1,12.50384,1,12.549664,0.406048,12.955712
115,128,128,-1,-1,-1,-1,-1,12.518976,1,12.564672,0.401248,12.96592
116,128,128,-1,-1,-1,-1,-1,12.528032,1,12.573984,0.39792,12.971904
117,128,128,-1,-1,-1,-1,-1,12.539872,1,12.585632,0.412544,12.998176
118,128,128,-1,-1,-1,-1,-1,12.545152,1,12.591808,0.410432,13.00224
119,128,128,-1,-1,-1,-1,-1,12.581056,1,12.626528,0.414784,13.041312
120,128,128,-1,-1,-1,-1,-1,12.56224,1,12.612416,0.396992,13.009408
121,128,128,-1,-1,-1,-1,-1,12.547104,1,12.593984,0.408704,13.002688
122,128,128,-1,-1,-1,-1,-1,12.553472,1,12.601888,0.414208,13.016096
123,128,128,-1,-1,-1,-1,-1,12.545312,1,12.591616,0.405024,12.99664
124,128,128,-1,-1,-1,-1,-1,12.556832,1,12.604384,0.394208,12.998592
125,128,128,-1,-1,-1,-1,-1,12.571712,1,12.618656,0.398304,13.01696
126,128,128,-1,-1,-1,-1,-1,12.669632,1,12.715488,0.413056,13.128544
127,128,128,-1,-1,-1,-1,-1,12.690048,1,12.736352,0.409152,13.145504
128,128,128,-1,-1,-1,-1,-1,12.645888,1,12.693344,0.398112,13.091456
129,128,128,-1,-1,-1,-1,-1,12.663872,1,12.710048,0.413312,13.12336
130,128,128,-1,-1,-1,-1,-1,12.697888,1,12.745728,0.410816,13.156544
131,128,128,-1,-1,-1,-1,-1,12.636352,1,12.681888,0.396576,13.078464
132,128,128,-1,-1,-1,-1,-1,12.646848,1,12.693664,0.39584,13.089504
133,128,128,-1,-1,-1,-1,-1,12.651264,1,12.698912,0.399744,13.098656
134,128,128,-1,-1,-1,-1,-1,12.668928,1,12.715936,0.405472,13.121408
