step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,128,896,128,896,896,5,27.227552,-1,0,3059.314453,11356.889648,14416.204102
1,128,768,128,768,1664,5,9.789952,-1,0,354.401184,3415.711182,3770.112366
2,1,2048,1,2048,2048,5,3.042176,-1,0,31.639809,3.362336,35.002145
3,6,10251,6,10251,12299,5,11.818848,-1,0,159.608505,12.167968,171.776473
4,14,16384,14,16384,28683,5,18.478399,-1,0,247.896637,19.51712,267.413757
5,22,16384,22,16384,45063,5,18.712,-1,0,248.976959,19.163424,268.140383
6,30,16384,30,16384,61429,5,19.517281,-1,0,289.433594,21.33024,310.763834
7,38,16384,38,16384,77768,5,19.251713,-1,0,252.914749,19.818527,272.733276
8,46,16384,46,16384,94084,5,19.058817,-1,0,251.909668,19.711872,271.62154
9,54,16384,54,16384,110370,5,21.219296,-1,0,262.875702,22.067616,284.943317
10,62,16384,62,16384,126614,5,19.866848,-1,0,270.967133,20.784672,291.751804
11,70,16384,70,16384,142840,5,19.701376,-1,0,258.142273,20.716225,278.858498
12,77,16384,77,16384,159059,5,20.423649,-1,0,255.286148,21.761761,277.047909
13,85,16384,85,16384,175265,5,20.980543,-1,0,272.260864,22.41968,294.680544
14,93,16384,93,16384,191438,5,19.953089,-1,0,259.974518,21.501217,281.475735
15,101,16384,101,16384,207571,5,20.466656,-1,0,259.628479,21.84848,281.476959
16,108,16384,108,16384,223693,5,20.288992,-1,0,263.281036,21.856928,285.137964
17,116,16384,116,16384,239790,5,20.638847,-1,0,269.98175,23.180449,293.162199
18,124,16384,124,16384,255829,5,20.196672,-1,0,261.692993,21.971169,283.664162
19,128,10393,128,10393,265875,5,13.428992,-1,0,174.766754,15.278304,190.045058
20,128,768,128,768,266281,5,3.933216,-1,0,24.938848,5.588384,30.527233
21,128,768,128,768,266692,5,3.848608,-1,0,21.729919,5.416448,27.146368
22,128,768,128,768,267067,5,3.816128,-1,0,21.341984,5.351808,26.693792
23,128,768,128,768,267406,5,3.854496,-1,0,21.430817,5.41296,26.843777
24,128,768,128,768,267791,5,3.846432,-1,0,21.437599,5.382176,26.819775
25,128,768,128,768,268142,5,3.842048,-1,0,21.385824,5.390368,26.776192
26,128,768,128,768,268557,5,3.86608,-1,0,21.639135,5.432896,27.072031
27,128,768,128,768,268924,5,3.871744,-1,0,21.683264,5.427392,27.110656
28,128,768,128,768,269279,5,3.9264,-1,0,21.752512,5.540448,27.29296
29,128,768,128,768,269663,5,3.87648,-1,0,21.960192,5.4392,27.399392
30,128,768,128,768,270042,5,3.87856,-1,0,21.710016,5.438336,27.148352
31,128,768,128,768,270415,5,3.882304,-1,0,21.666336,5.432064,27.0984
32,128,768,128,768,270761,5,3.890432,-1,0,21.788609,5.474304,27.262913
33,128,768,128,768,271152,5,3.908704,-1,0,21.90464,5.492736,27.397376
34,128,768,128,768,271512,5,3.94096,-1,0,22.093248,5.56208,27.655328
35,128,768,128,768,271897,5,3.877632,-1,0,24.370464,5.50112,29.871584
36,128,768,128,768,272263,5,3.864,-1,0,21.582304,5.401344,26.983648
37,128,768,128,768,272626,5,3.872,-1,0,21.735519,5.446496,27.182015
38,128,768,128,768,273022,5,3.86512,-1,0,21.880159,5.405056,27.285215
39,128,768,128,768,273377,5,3.785984,-1,0,25.333055,5.3008,30.633855
40,128,768,128,768,273737,5,3.758368,-1,0,23.364672,5.244256,28.608928
41,128,768,128,768,274090,5,3.815168,-1,0,21.943905,5.331168,27.275073
