step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,32,64,-1,-1,-1,-1,-1,4958.000977
1,32,32,-1,-1,-1,-1,-1,17.7152
2,0,-1,-1,-1,-1,-1,-1,0.004096
3,1,513,-1,-1,-1,-1,-1,66.795517
4,18,8192,-1,-1,-1,-1,-1,519.034851
5,32,7229,-1,-1,-1,-1,-1,431.982605
6,32,32,-1,-1,-1,-1,-1,15.598592
7,32,32,-1,-1,-1,-1,-1,15.489024
8,32,32,-1,-1,-1,-1,-1,15.430656
9,32,32,-1,-1,-1,-1,-1,15.40608
10,32,32,-1,-1,-1,-1,-1,15.387648
11,32,32,-1,-1,-1,-1,-1,15.386624
12,32,32,-1,-1,-1,-1,-1,15.387648
13,32,32,-1,-1,-1,-1,-1,15.386624
14,32,32,-1,-1,-1,-1,-1,15.341568
15,32,32,-1,-1,-1,-1,-1,15.336448
16,32,32,-1,-1,-1,-1,-1,15.335424
17,32,32,-1,-1,-1,-1,-1,15.3344
18,32,32,-1,-1,-1,-1,-1,15.350784
19,32,32,-1,-1,-1,-1,-1,15.367168
20,32,32,-1,-1,-1,-1,-1,15.379456
21,32,32,-1,-1,-1,-1,-1,15.373312
22,32,32,-1,-1,-1,-1,-1,15.36512
23,32,32,-1,-1,-1,-1,-1,15.33952
24,32,32,-1,-1,-1,-1,-1,15.345664
25,32,32,-1,-1,-1,-1,-1,15.333376
26,32,32,-1,-1,-1,-1,-1,15.343616
27,32,32,-1,-1,-1,-1,-1,15.358976
28,32,32,-1,-1,-1,-1,-1,15.346688
29,32,32,-1,-1,-1,-1,-1,15.34976
30,32,32,-1,-1,-1,-1,-1,15.342592
31,32,32,-1,-1,-1,-1,-1,15.346688
32,32,32,-1,-1,-1,-1,-1,15.330304
33,32,32,-1,-1,-1,-1,-1,15.35488
34,32,32,-1,-1,-1,-1,-1,15.342592
35,32,32,-1,-1,-1,-1,-1,15.376384
36,32,32,-1,-1,-1,-1,-1,15.372288
37,32,32,-1,-1,-1,-1,-1,15.377408
38,32,32,-1,-1,-1,-1,-1,15.37024
39,32,32,-1,-1,-1,-1,-1,15.36512
40,32,32,-1,-1,-1,-1,-1,15.358976
41,32,32,-1,-1,-1,-1,-1,15.362048
