step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,32,160,32,8192,8192,3,4908.304199,635.240479
1,32,128,32,160,160,3,4.57728,459.829254
2,0,-1,32,128,288,3,3.738624,0.004096
3,1,513,-1,-1,-1,-1,-1,60.138496
4,17,8192,1,513,513,3,4.70016,550.004761
5,32,7775,17,8192,8705,3,22.002687,466.996216
6,32,128,32,7775,16480,3,21.87776,20.955135
7,32,128,32,128,16605,3,2.852864,20.676607
8,32,128,32,128,16699,3,2.82112,20.519936
9,32,128,32,128,16782,3,2.80576,20.445185
10,32,128,32,128,16859,3,2.799616,20.445185
11,32,128,32,128,16943,3,2.808832,20.455423
12,32,128,32,128,17026,3,2.807808,20.344831
13,32,128,32,128,17111,3,2.788352,20.349953
14,32,128,32,128,17195,3,2.793472,20.336639
15,32,128,32,128,17282,3,2.786304,20.345856
16,32,128,32,128,17356,3,2.799616,20.355072
17,32,128,32,128,17427,3,2.79552,20.355072
18,32,128,32,128,17508,3,2.794496,20.347904
19,32,128,32,128,17577,3,2.784256,20.375551
20,32,128,32,128,17658,3,2.799616,20.361216
21,32,128,32,128,17736,3,2.796544,20.343807
22,32,128,32,128,17820,3,2.796544,20.364288
23,32,128,32,128,17900,3,2.808832,20.379648
24,32,128,32,128,17978,3,2.799616,20.379648
25,32,128,32,128,18063,3,2.801664,20.358145
26,32,128,32,128,18133,3,2.797568,20.353024
27,32,128,32,128,18205,3,2.792448,20.399103
28,32,128,32,128,18279,3,2.796544,20.416512
29,32,128,32,128,18346,3,2.794496,20.396032
30,32,128,32,128,18417,3,2.799616,20.38784
31,32,128,32,128,18492,3,2.791424,20.410368
32,32,128,32,128,18569,3,2.797568,20.410368
33,32,128,32,128,18650,3,2.799616,20.412416
34,32,128,32,128,18723,3,2.808832,20.427776
35,32,128,32,128,18795,3,2.801664,20.396032
36,32,128,32,128,18874,3,2.797568,20.421633
37,32,128,32,128,18952,3,2.802688,20.416512
38,32,128,32,128,19027,3,2.811904,20.410368
39,32,128,32,128,19098,3,2.791424,20.417536
40,32,128,32,128,19177,3,2.802688,20.415487
41,32,128,32,128,19244,3,2.801664,20.413441
42,32,128,32,128,19331,3,2.80576,20.413441
43,32,128,32,128,19395,3,2.799616,20.443136
44,32,128,32,128,19469,3,2.808832,20.434944
45,32,128,32,128,19548,3,2.808832,20.44928
46,32,128,32,128,19618,3,2.806784,20.440063
47,32,128,32,128,19685,3,2.803712,20.440063
48,32,128,32,128,19766,3,2.801664,20.430847
49,32,128,32,128,19837,3,2.803712,20.458496
