step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,32,64,-1,-1,-1,-1,-1,24.215551,1,4947.033203
1,32,32,-1,-1,-1,-1,-1,15.704064,1,17.604609
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.004096
3,1,513,-1,-1,-1,-1,-1,-1,0,94.952446
4,18,8192,-1,-1,-1,-1,-1,-1,0,549.846008
5,32,7229,-1,-1,-1,-1,-1,-1,0,438.537201
6,32,32,-1,-1,-1,-1,-1,15.665152,1,15.731712
7,32,32,-1,-1,-1,-1,-1,15.497216,1,15.540224
8,32,32,-1,-1,-1,-1,-1,15.420416,1,15.463424
9,32,32,-1,-1,-1,-1,-1,15.364096,1,15.405056
10,32,32,-1,-1,-1,-1,-1,15.347712,1,15.388672
11,32,32,-1,-1,-1,-1,-1,15.351808,1,15.392768
12,32,32,-1,-1,-1,-1,-1,15.379456,1,15.419392
13,32,32,-1,-1,-1,-1,-1,15.369216,1,15.409152
14,32,32,-1,-1,-1,-1,-1,15.34976,1,15.391744
15,32,32,-1,-1,-1,-1,-1,15.327232,1,15.368192
16,32,32,-1,-1,-1,-1,-1,15.325184,1,15.367168
17,32,32,-1,-1,-1,-1,-1,15.330304,1,15.371264
18,32,32,-1,-1,-1,-1,-1,15.318016,1,15.36
19,32,32,-1,-1,-1,-1,-1,15.311872,1,15.373312
20,32,32,-1,-1,-1,-1,-1,15.323136,1,15.386624
21,32,32,-1,-1,-1,-1,-1,15.312896,1,15.369216
22,32,32,-1,-1,-1,-1,-1,15.312896,1,15.374336
23,32,32,-1,-1,-1,-1,-1,15.306752,1,15.346688
24,32,32,-1,-1,-1,-1,-1,15.316992,1,15.356928
25,32,32,-1,-1,-1,-1,-1,15.330304,1,15.37024
26,32,32,-1,-1,-1,-1,-1,15.330304,1,15.372288
27,32,32,-1,-1,-1,-1,-1,15.331328,1,15.371264
28,32,32,-1,-1,-1,-1,-1,15.314944,1,15.356928
29,32,32,-1,-1,-1,-1,-1,15.31904,1,15.358976
30,32,32,-1,-1,-1,-1,-1,15.312896,1,15.35488
31,32,32,-1,-1,-1,-1,-1,15.322112,1,15.362048
32,32,32,-1,-1,-1,-1,-1,15.311872,1,15.352832
33,32,32,-1,-1,-1,-1,-1,15.31904,1,15.36
34,32,32,-1,-1,-1,-1,-1,15.337472,1,15.379456
35,32,32,-1,-1,-1,-1,-1,15.320064,1,15.373312
36,32,32,-1,-1,-1,-1,-1,15.327232,1,15.384576
37,32,32,-1,-1,-1,-1,-1,15.326208,1,15.388672
38,32,32,-1,-1,-1,-1,-1,15.316992,1,15.379456
39,32,32,-1,-1,-1,-1,-1,15.33952,1,15.38048
40,32,32,-1,-1,-1,-1,-1,15.352832,1,15.393792
41,32,32,-1,-1,-1,-1,-1,15.338496,1,15.378432
42,32,32,-1,-1,-1,-1,-1,15.341568,1,15.386624
43,32,32,-1,-1,-1,-1,-1,15.327232,1,15.368192
44,32,32,-1,-1,-1,-1,-1,15.338496,1,15.378432
45,32,32,-1,-1,-1,-1,-1,15.341568,1,15.383552
46,32,32,-1,-1,-1,-1,-1,15.330304,1,15.372288
47,32,32,-1,-1,-1,-1,-1,15.34976,1,15.39072
48,32,32,-1,-1,-1,-1,-1,15.353856,1,15.393792
49,32,32,-1,-1,-1,-1,-1,15.346688,1,15.388672
50,32,32,-1,-1,-1,-1,-1,15.348736,1,15.39072
51,32,32,-1,-1,-1,-1,-1,15.351808,1,15.414272
52,32,32,-1,-1,-1,-1,-1,15.355904,1,15.419392
53,32,32,-1,-1,-1,-1,-1,15.353856,1,15.415296
54,32,32,-1,-1,-1,-1,-1,15.358976,1,15.42144
55,32,32,-1,-1,-1,-1,-1,15.361024,1,15.40096
56,32,32,-1,-1,-1,-1,-1,15.362048,1,15.403008
57,32,32,-1,-1,-1,-1,-1,15.372288,1,15.4112
58,32,32,-1,-1,-1,-1,-1,15.358976,1,15.40096
59,32,32,-1,-1,-1,-1,-1,15.37024,1,15.4112
60,32,32,-1,-1,-1,-1,-1,15.378432,1,15.418368
61,32,32,-1,-1,-1,-1,-1,15.361024,1,15.403008
62,32,32,-1,-1,-1,-1,-1,15.3856,1,15.42656
63,32,32,-1,-1,-1,-1,-1,15.377408,1,15.418368
64,32,32,-1,-1,-1,-1,-1,15.377408,1,15.419392
65,32,32,-1,-1,-1,-1,-1,15.386624,1,15.42656
66,32,32,-1,-1,-1,-1,-1,15.372288,1,15.415296
67,32,32,-1,-1,-1,-1,-1,15.392768,1,15.453184
68,32,32,-1,-1,-1,-1,-1,15.384576,1,15.450112
69,32,32,-1,-1,-1,-1,-1,15.388672,1,15.45216
70,32,32,-1,-1,-1,-1,-1,15.393792,1,15.456256
71,32,32,-1,-1,-1,-1,-1,15.397888,1,15.439872
72,32,32,-1,-1,-1,-1,-1,15.401984,1,15.442944
73,32,32,-1,-1,-1,-1,-1,15.405056,1,15.444992
74,32,32,-1,-1,-1,-1,-1,15.40608,1,15.448064
75,32,32,-1,-1,-1,-1,-1,15.41632,1,15.45728
76,32,32,-1,-1,-1,-1,-1,15.413248,1,15.455232
77,32,32,-1,-1,-1,-1,-1,15.423488,1,15.463424
78,32,32,-1,-1,-1,-1,-1,15.42144,1,15.463424
79,32,32,-1,-1,-1,-1,-1,15.412224,1,15.454208
80,32,32,-1,-1,-1,-1,-1,15.412224,1,15.453184
81,32,32,-1,-1,-1,-1,-1,15.418368,1,15.458304
82,32,32,-1,-1,-1,-1,-1,15.419392,1,15.460352
83,32,32,-1,-1,-1,-1,-1,15.430656,1,15.49312
84,32,32,-1,-1,-1,-1,-1,15.437824,1,15.50336
85,32,32,-1,-1,-1,-1,-1,15.433728,1,15.497216
86,32,32,-1,-1,-1,-1,-1,15.42656,1,15.481856
87,32,32,-1,-1,-1,-1,-1,15.438848,1,15.478784
88,32,32,-1,-1,-1,-1,-1,15.43168,1,15.471616
89,32,32,-1,-1,-1,-1,-1,15.449088,1,15.491072
90,32,32,-1,-1,-1,-1,-1,15.450112,1,15.49312
91,32,32,-1,-1,-1,-1,-1,15.439872,1,15.481856
92,32,32,-1,-1,-1,-1,-1,15.450112,1,15.491072
93,32,32,-1,-1,-1,-1,-1,15.44704,1,15.486976
94,32,32,-1,-1,-1,-1,-1,15.444992,1,15.485952
95,32,32,-1,-1,-1,-1,-1,15.455232,1,15.495168
96,32,32,-1,-1,-1,-1,-1,15.461376,1,15.501312
97,32,32,-1,-1,-1,-1,-1,15.455232,1,15.495168
98,32,32,-1,-1,-1,-1,-1,15.456256,1,15.49824
99,32,32,-1,-1,-1,-1,-1,15.454208,1,15.515648
100,32,32,-1,-1,-1,-1,-1,15.45728,1,15.521792
101,32,32,-1,-1,-1,-1,-1,15.47264,1,15.535104
102,32,32,-1,-1,-1,-1,-1,15.460352,1,15.522816
103,32,32,-1,-1,-1,-1,-1,15.45216,1,15.49312
104,32,32,-1,-1,-1,-1,-1,15.470592,1,15.50848
105,32,32,-1,-1,-1,-1,-1,15.474688,1,15.515648
106,32,32,-1,-1,-1,-1,-1,15.473664,1,15.515648
107,32,32,-1,-1,-1,-1,-1,15.471616,1,15.512576
108,32,32,-1,-1,-1,-1,-1,15.48288,1,15.52384
109,32,32,-1,-1,-1,-1,-1,15.47776,1,15.51872
110,32,528,-1,-1,-1,-1,-1,-1,0,48.210945
111,32,32,-1,-1,-1,-1,-1,15.533056,1,15.574016
112,32,32,-1,-1,-1,-1,-1,15.53408,1,15.574016
113,32,32,-1,-1,-1,-1,-1,15.529984,1,15.56992
114,32,32,-1,-1,-1,-1,-1,15.541248,1,15.582208
115,32,32,-1,-1,-1,-1,-1,15.547392,1,15.607808
116,32,32,-1,-1,-1,-1,-1,15.505408,1,15.568896
117,32,32,-1,-1,-1,-1,-1,15.50336,1,15.568896
118,32,32,-1,-1,-1,-1,-1,15.495168,1,15.556608
119,32,528,-1,-1,-1,-1,-1,-1,0,48.273407
120,32,528,-1,-1,-1,-1,-1,-1,0,48.726017
121,32,32,-1,-1,-1,-1,-1,15.589376,1,15.63136
122,32,32,-1,-1,-1,-1,-1,15.547392,1,15.587328
