step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,32,160,-1,-1,-1,-1,-1,25.404415,1,701.614075
1,32,128,-1,-1,-1,-1,-1,19.509249,1,486.795258
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.004096
3,1,513,-1,-1,-1,-1,-1,-1,0,79.52282
4,17,8192,-1,-1,-1,-1,-1,-1,0,507.305969
5,32,7775,-1,-1,-1,-1,-1,-1,0,476.063751
6,32,128,-1,-1,-1,-1,-1,21.472256,1,21.518335
7,32,128,-1,-1,-1,-1,-1,20.885504,1,20.955135
8,32,128,-1,-1,-1,-1,-1,20.571136,1,20.630527
9,32,128,-1,-1,-1,-1,-1,20.455423,1,20.525057
10,32,128,-1,-1,-1,-1,-1,20.4032,1,20.469761
11,32,128,-1,-1,-1,-1,-1,20.391935,1,20.436993
12,32,128,-1,-1,-1,-1,-1,20.36224,1,20.428801
13,32,128,-1,-1,-1,-1,-1,20.289536,1,20.345856
14,32,128,-1,-1,-1,-1,-1,20.278273,1,20.344831
15,32,128,-1,-1,-1,-1,-1,20.262913,1,20.328447
16,32,128,-1,-1,-1,-1,-1,20.292608,1,20.356096
17,32,128,-1,-1,-1,-1,-1,20.286465,1,20.353024
18,32,128,-1,-1,-1,-1,-1,20.308992,1,20.374529
19,32,128,-1,-1,-1,-1,-1,20.327423,1,20.39296
20,32,128,-1,-1,-1,-1,-1,20.308992,1,20.374529
21,32,128,-1,-1,-1,-1,-1,20.313087,1,20.381697
22,32,128,-1,-1,-1,-1,-1,20.317184,1,20.375551
23,32,128,-1,-1,-1,-1,-1,20.318209,1,20.382721
24,32,128,-1,-1,-1,-1,-1,20.329472,1,20.397057
25,32,128,-1,-1,-1,-1,-1,20.323328,1,20.391935
26,32,128,-1,-1,-1,-1,-1,20.324352,1,20.390911
27,32,128,-1,-1,-1,-1,-1,20.323328,1,20.381697
28,32,128,-1,-1,-1,-1,-1,20.33152,1,20.389889
29,32,128,-1,-1,-1,-1,-1,20.335615,1,20.402176
30,32,128,-1,-1,-1,-1,-1,20.315136,1,20.37248
31,32,128,-1,-1,-1,-1,-1,20.335615,1,20.402176
32,32,128,-1,-1,-1,-1,-1,20.350977,1,20.417536
33,32,128,-1,-1,-1,-1,-1,20.353024,1,20.41856
34,32,128,-1,-1,-1,-1,-1,20.369408,1,20.435968
35,32,128,-1,-1,-1,-1,-1,20.342785,1,20.400127
36,32,128,-1,-1,-1,-1,-1,20.368383,1,20.434944
37,32,128,-1,-1,-1,-1,-1,20.369408,1,20.434944
38,32,128,-1,-1,-1,-1,-1,20.374529,1,20.440063
39,32,128,-1,-1,-1,-1,-1,20.375551,1,20.443136
40,32,128,-1,-1,-1,-1,-1,20.369408,1,20.435968
41,32,128,-1,-1,-1,-1,-1,20.371456,1,20.440063
42,32,128,-1,-1,-1,-1,-1,20.373505,1,20.428801
43,32,128,-1,-1,-1,-1,-1,20.3776,1,20.441088
44,32,128,-1,-1,-1,-1,-1,20.393984,1,20.458496
45,32,128,-1,-1,-1,-1,-1,20.380672,1,20.44416
46,32,128,-1,-1,-1,-1,-1,20.396032,1,20.461569
