step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,224,1120,224,1120,1120,3,6.407168,-1,0,133.995514,197.144577,331.140091
1,224,896,224,896,2016,3,6.125568,-1,0,70.223869,64.65741,134.881279
2,1,513,1,513,513,3,4.050944,-1,0,59.054081,4.880384,63.934465
3,17,8192,17,8192,8705,3,22.541311,-1,0,521.114624,23.436289,544.550913
4,33,8192,33,8192,16897,3,22.994944,-1,0,494.808075,24.008703,518.816778
5,49,8192,49,8192,25086,3,23.496704,-1,0,506.009613,24.894464,530.904078
6,65,8192,65,8192,33244,3,23.734272,-1,0,504.998901,25.216,530.214901
7,80,8192,80,8192,41391,3,23.829504,-1,0,508.230652,25.810944,534.041595
8,95,8192,95,8192,49501,3,24.117249,-1,0,511.2146,26.1632,537.3778
9,111,8192,111,8192,57597,3,24.397823,-1,0,514.981873,27.0592,542.041073
10,126,8192,126,8192,65663,3,24.63232,-1,0,519.285767,27.380735,546.666502
11,141,8192,141,8192,73714,3,25.084929,-1,0,524.080139,28.640257,552.720396
12,156,8192,156,8192,81738,3,25.377792,-1,0,525.779968,29.019136,554.799105
13,170,8192,170,8192,89764,3,25.598976,-1,0,530.386963,29.31712,559.704082
14,185,8192,185,8192,97734,3,25.812992,-1,0,533.010437,29.800447,562.810884
15,200,8192,200,8192,105679,3,25.983999,-1,0,536.989685,30.047232,567.036917
16,214,8192,214,8192,113639,3,26.194944,-1,0,538.727417,30.865408,569.592825
17,224,6199,224,6199,119546,3,21.707775,-1,0,433.027069,26.430464,459.457533
18,224,896,224,896,120130,3,7.955456,-1,0,108.116989,12.515328,120.632318
19,224,896,224,896,120704,3,7.932928,-1,0,107.346947,12.466176,119.813123
20,224,896,224,896,121265,3,7.996416,-1,0,107.386879,12.562432,119.949311
21,224,896,224,896,121840,3,8.010752,-1,0,107.621376,12.575744,120.19712
22,224,896,224,896,122422,3,7.989248,-1,0,107.918335,12.55424,120.472575
23,224,896,224,896,122976,3,8.020992,-1,0,108.097534,12.593152,120.690686
24,224,896,224,896,123554,3,8.029184,-1,0,108.004349,12.592128,120.596477
25,224,896,224,896,124135,3,8.029184,-1,0,108.541954,12.5952,121.137154
26,224,896,224,896,124665,3,8.0384,-1,0,108.731392,12.603392,121.334784
27,224,896,224,896,125195,3,8.02816,-1,0,108.66893,12.592128,121.261058
28,224,896,224,896,125734,3,8.049664,-1,0,108.995583,12.6208,121.616383
29,224,896,224,896,126275,3,8.073216,-1,0,108.901375,12.644352,121.545727
30,224,896,224,896,126824,3,8.020992,-1,0,109.002754,12.546048,121.548802
31,224,896,224,896,127392,3,8.077312,-1,0,109.443069,12.637184,122.080254
32,224,896,224,896,127939,3,8.096768,-1,0,109.754372,12.66688,122.421251
33,224,896,224,896,128503,3,8.09984,-1,0,110.052353,12.664832,122.717185
