step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,192,384,-1,-1,-1,-1,-1,46.173183,1,5176.472656,18114.419922,23290.892578
1,192,192,-1,-1,-1,-1,-1,26.569729,1,28.528641,9.366528,37.895168
2,1,513,-1,-1,-1,-1,-1,-1,0,60.402687,2.689024,63.091711
3,18,8192,-1,-1,-1,-1,-1,-1,0,529.385498,0.87552,530.261018
4,34,8192,-1,-1,-1,-1,-1,-1,0,487.549957,0.892928,488.442885
5,51,8192,-1,-1,-1,-1,-1,-1,0,494.921722,0.915456,495.837178
6,67,8192,-1,-1,-1,-1,-1,-1,0,496.4823,0.964608,497.446908
7,84,8192,-1,-1,-1,-1,-1,-1,0,501.226501,0.987136,502.213637
8,100,8192,-1,-1,-1,-1,-1,-1,0,503.921661,1.012736,504.934397
9,116,8192,-1,-1,-1,-1,-1,-1,0,509.281281,1.033216,510.314497
10,132,8192,-1,-1,-1,-1,-1,-1,0,511.687683,1.34656,513.034243
11,149,8192,-1,-1,-1,-1,-1,-1,0,517.217285,1.357824,518.575109
12,165,8192,-1,-1,-1,-1,-1,-1,0,520.155151,1.389568,521.544719
13,181,8192,-1,-1,-1,-1,-1,-1,0,524.082153,1.396736,525.478889
14,192,5874,-1,-1,-1,-1,-1,-1,0,386.820099,1.426432,388.246531
15,192,192,-1,-1,-1,-1,-1,30.649343,1,30.710785,1.425408,32.136193
16,192,192,-1,-1,-1,-1,-1,30.633984,1,30.685184,1.425408,32.110592
17,192,192,-1,-1,-1,-1,-1,29.5168,1,29.564928,1.354752,30.91968
18,192,192,-1,-1,-1,-1,-1,29.190144,1,29.259775,1.358848,30.618623
19,192,192,-1,-1,-1,-1,-1,29.235201,1,29.306881,1.354752,30.661633
20,192,192,-1,-1,-1,-1,-1,29.25568,1,29.325312,1.352704,30.678016
21,192,192,-1,-1,-1,-1,-1,29.263872,1,29.329409,1.357824,30.687233
